name,recip_rank,success_10,success_20,success_50,success_100,success_10 (%),success_20 (%),success_50 (%),success_100 (%)
BM25+RM3,0.3602,0.5686274509803921,0.6666666666666666,0.8235294117647058,0.9019607843137255,56.86,66.67,82.35,90.2
mmBERT-base Fine-Tuned (JH-POLO),0.2976,0.5098039215686274,0.5947712418300654,0.673202614379085,0.8431372549019608,50.98,59.48,67.32,84.31
RRF (BM25+RM3 + mmBERT),0.3936,0.6470588235294118,0.8366013071895425,0.9411764705882353,0.9738562091503268,64.71,83.66,94.12,97.39
