name,query_type,recip_rank,success_10,success_20,success_50,success_100,success_10 (%),success_20 (%),success_50 (%),success_100 (%)
Baseline (DistilBERT Base),1,0.0154,0.0196078431372549,0.09803921568627451,0.13725490196078433,0.3333333333333333,1.96,9.8,13.73,33.33
Baseline (DistilBERT Base),2,0.0106,0.0,0.0392156862745098,0.17647058823529413,0.3333333333333333,0.0,3.92,17.65,33.33
Baseline (DistilBERT Base),3,0.0187,0.0392156862745098,0.0392156862745098,0.09803921568627451,0.27450980392156865,3.92,3.92,9.8,27.45
DistilBERT Base Fine-Tuned (JH-POLO),1,0.2049,0.35294117647058826,0.43137254901960786,0.5686274509803921,0.6274509803921569,35.29,43.14,56.86,62.75
DistilBERT Base Fine-Tuned (JH-POLO),2,0.1733,0.35294117647058826,0.5098039215686274,0.6274509803921569,0.7843137254901961,35.29,50.98,62.75,78.43
DistilBERT Base Fine-Tuned (JH-POLO),3,0.1776,0.35294117647058826,0.43137254901960786,0.5882352941176471,0.7450980392156863,35.29,43.14,58.82,74.51
