name,query_type,recip_rank,success_10,success_20,success_50,success_100,success_10 (%),success_20 (%),success_50 (%),success_100 (%)
AraDPR (Gemini LLM),1.0,0.2068,0.4117647058823529,0.5294117647058824,0.7058823529411765,0.7647058823529411,41.18,52.94,70.59,76.47
AraDPR (Gemini LLM),2.0,0.205,0.29411764705882354,0.47058823529411764,0.6470588235294118,0.8235294117647058,29.41,47.06,64.71,82.35
AraDPR (Gemini LLM),3.0,0.0539,0.29411764705882354,0.35294117647058826,0.6470588235294118,0.8823529411764706,29.41,35.29,64.71,88.24
AraDPR (Google NMT),1.0,0.1875,0.35294117647058826,0.47058823529411764,0.7647058823529411,0.8235294117647058,35.29,47.06,76.47,82.35
AraDPR (Google NMT),2.0,0.1048,0.17647058823529413,0.4117647058823529,0.5294117647058824,0.6470588235294118,17.65,41.18,52.94,64.71
AraDPR (Google NMT),3.0,0.0601,0.17647058823529413,0.29411764705882354,0.47058823529411764,0.6470588235294118,17.65,29.41,47.06,64.71
