name,query_type,recip_rank,success_10,success_20,success_50,success_100,success_10 (%),success_20 (%),success_50 (%),success_100 (%)
Baseline (mmBERT-base),1,0.0114,0.0196078431372549,0.0196078431372549,0.1568627450980392,0.3137254901960784,1.96,1.96,15.69,31.37
Baseline (mmBERT-base),2,0.0166,0.0196078431372549,0.09803921568627451,0.1568627450980392,0.23529411764705882,1.96,9.8,15.69,23.53
Baseline (mmBERT-base),3,0.0101,0.0,0.0196078431372549,0.13725490196078433,0.3137254901960784,0.0,1.96,13.73,31.37
mmBERT-base Fine-Tuned (JH-POLO),1,0.2013,0.37254901960784315,0.43137254901960786,0.7058823529411765,0.803921568627451,37.25,43.14,70.59,80.39
mmBERT-base Fine-Tuned (JH-POLO),2,0.2904,0.5490196078431373,0.6862745098039216,0.803921568627451,0.9019607843137255,54.9,68.63,80.39,90.2
mmBERT-base Fine-Tuned (JH-POLO),3,0.29,0.5882352941176471,0.6470588235294118,0.8431372549019608,0.8823529411764706,58.82,64.71,84.31,88.24
