name,query_type,recip_rank,success_10,success_20,success_50,success_100,success_10 (%),success_20 (%),success_50 (%),success_100 (%)
AraDPR (Gemini AI),1.0,0.1188,0.23529411764705882,0.29411764705882354,0.35294117647058826,0.47058823529411764,23.53,29.41,35.29,47.06
AraDPR (Gemini AI),2.0,0.1024,0.17647058823529413,0.23529411764705882,0.4117647058823529,0.5882352941176471,17.65,23.53,41.18,58.82
AraDPR (Gemini AI),3.0,0.0218,0.0,0.11764705882352941,0.35294117647058826,0.7058823529411765,0.0,11.76,35.29,70.59
AraDPR (Google NMT),1.0,0.1012,0.23529411764705882,0.29411764705882354,0.35294117647058826,0.5882352941176471,23.53,29.41,35.29,58.82
AraDPR (Google NMT),2.0,0.0577,0.17647058823529413,0.17647058823529413,0.35294117647058826,0.5294117647058824,17.65,17.65,35.29,52.94
AraDPR (Google NMT),3.0,0.0189,0.0,0.11764705882352941,0.23529411764705882,0.5882352941176471,0.0,11.76,23.53,58.82
