name,query_type,recip_rank,success_10,success_20,success_50,success_100,success_10 (%),success_20 (%),success_50 (%),success_100 (%)
Baseline (mmBERT-small),1,0.0141,0.0,0.09803921568627451,0.19607843137254902,0.29411764705882354,0.0,9.8,19.61,29.41
Baseline (mmBERT-small),2,0.0234,0.0392156862745098,0.13725490196078433,0.19607843137254902,0.3137254901960784,3.92,13.73,19.61,31.37
Baseline (mmBERT-small),3,0.0124,0.0196078431372549,0.058823529411764705,0.13725490196078433,0.27450980392156865,1.96,5.88,13.73,27.45
mmBERT-small Fine-Tuned (JH-POLO),1,0.2798,0.39215686274509803,0.43137254901960786,0.5686274509803921,0.6470588235294118,39.22,43.14,56.86,64.71
mmBERT-small Fine-Tuned (JH-POLO),2,0.2789,0.49019607843137253,0.5294117647058824,0.6862745098039216,0.7843137254901961,49.02,52.94,68.63,78.43
mmBERT-small Fine-Tuned (JH-POLO),3,0.2182,0.37254901960784315,0.5294117647058824,0.6078431372549019,0.7254901960784313,37.25,52.94,60.78,72.55
