name,recip_rank,success_10,success_20,success_50,success_100,success_10 (%),success_20 (%),success_50 (%),success_100 (%)
BM25 (Gemini LLM),0.3568,0.5620915032679739,0.6535947712418301,0.7777777777777778,0.9019607843137255,56.21,65.36,77.78,90.2
BM25 (Google NMT),0.1562,0.2679738562091503,0.33986928104575165,0.5359477124183006,0.6601307189542484,26.8,33.99,53.59,66.01
BM25+RM3 (Gemini LLM),0.3602,0.5686274509803921,0.6666666666666666,0.8235294117647058,0.9019607843137255,56.86,66.67,82.35,90.2
BM25+RM3 (Google NMT),0.1586,0.30718954248366015,0.40522875816993464,0.5294117647058824,0.6797385620915033,30.72,40.52,52.94,67.97
